command example manifest v1
command=ingest-imports example=audit-only-summary-text format=text path=testdata/ingest-imports-audit-only-summary.txt
command=ingest-imports example=audit-only-linked-json format=json path=testdata/ingest-imports-audit-only-linked.json
command=follow-imports example=audit-only-single-text format=text path=testdata/follow-imports-audit-only-single.txt
command=follow-imports example=audit-only-multi-json format=json path=testdata/follow-imports-audit-only-multi.json
command=cleanup-follow-imports example=daily-dry-run-text format=text path=testdata/cleanup-follow-imports-daily-dry-run.txt
command=cleanup-follow-imports example=filtered-cleanup-json format=json path=testdata/cleanup-follow-imports-filtered-cleanup.json
command=cleanup-follow-imports example=target-profile-all-text format=text path=testdata/cleanup-follow-imports-target-profile-all.txt
command=audit-follow-imports example=daily-audit-text format=text path=testdata/audit-follow-imports-daily-audit.txt
command=audit-follow-imports example=filtered-audit-json format=json path=testdata/audit-follow-imports-filtered-audit.json
command=audit-follow-imports example=target-profile-retry-json format=json path=testdata/audit-follow-imports-target-profile-retry.json
example_count=10
